wall_time,cam,rtp_seq,pipeline_ms,total_ms
11:29:44.543,2,32466,1.335,1.775
11:29:44.543,2,32467,1.335,1.784
11:29:44.543,2,32468,1.335,1.793
11:29:44.543,2,32469,1.802,1.802
11:29:44.567,0,32116,0.120,0.059
11:29:44.567,0,32117,0.120,0.091
11:29:44.567,0,32118,0.120,0.111
11:29:44.567,0,32119,0.120,0.120
11:29:44.567,0,32120,0.120,0.129
11:29:44.567,0,32121,0.120,0.138
11:29:44.567,0,32122,0.120,0.147
11:29:44.567,0,32123,0.120,0.156
11:29:44.567,0,32124,0.165,0.165
11:29:44.574,1,32604,0.194,0.093
11:29:44.574,1,32605,0.194,0.113
11:29:44.574,1,32606,0.194,0.122
11:29:44.574,1,32607,0.194,0.131
11:29:44.574,1,32608,0.194,0.140
11:29:44.574,1,32609,0.194,0.148
11:29:44.574,1,32610,0.194,0.156
11:29:44.574,1,32611,0.194,0.165
11:29:44.574,1,32612,0.194,0.173
11:29:44.574,1,32613,0.194,0.181
11:29:44.574,1,32614,0.194,0.189
11:29:44.574,1,32615,0.197,0.197
11:29:44.583,2,32470,1.802,0.081
11:29:44.583,2,32471,1.802,0.101
11:29:44.583,2,32472,1.802,0.111
11:29:44.583,2,32473,1.802,0.120
11:29:44.583,2,32474,1.802,0.129
11:29:44.583,2,32475,1.802,0.138
11:29:44.583,2,32476,1.802,0.146
11:29:44.583,2,32477,1.802,0.155
11:29:44.583,2,32478,1.802,0.163
11:29:44.583,2,32479,1.802,0.172
11:29:44.583,2,32480,1.802,0.181
11:29:44.583,2,32481,1.802,0.189
11:29:44.583,2,32482,0.197,0.197
11:29:44.597,0,32125,0.165,0.086
11:29:44.597,0,32126,0.165,0.123
11:29:44.597,0,32127,0.165,0.134
11:29:44.597,0,32128,0.165,0.143
11:29:44.597,0,32129,0.165,0.152
11:29:44.597,0,32130,0.165,0.161
11:29:44.597,0,32131,0.165,0.170
11:29:44.597,0,32132,0.165,0.179
11:29:44.597,0,32133,0.165,0.187
11:29:44.597,0,32134,0.196,0.196
11:29:44.613,2,32483,0.197,0.072
11:29:44.613,2,32484,0.197,0.093
11:29:44.613,2,32485,0.197,0.104
11:29:44.613,2,32486,0.197,0.114
11:29:44.613,2,32487,0.197,0.123
11:29:44.613,2,32488,0.197,0.132
11:29:44.613,2,32489,0.197,0.141
11:29:44.614,2,32490,0.197,0.149
11:29:44.614,2,32491,0.197,0.159
11:29:44.614,2,32492,0.197,0.168
11:29:44.614,2,32493,0.197,0.178
11:29:44.614,2,32494,0.197,0.187
11:29:44.614,2,32495,0.196,0.196
11:29:44.615,1,32616,0.197,0.104
11:29:44.615,1,32617,0.197,0.131
11:29:44.615,1,32618,0.197,0.143
11:29:44.615,1,32619,0.197,0.153
11:29:44.615,1,32620,0.197,0.162
11:29:44.615,1,32621,0.197,0.170
11:29:44.615,1,32622,0.197,0.179
11:29:44.615,1,32623,0.197,0.187
11:29:44.615,1,32624,0.197,0.195
11:29:44.615,1,32625,0.197,0.203
11:29:44.615,1,32626,0.197,0.211
11:29:44.615,1,32627,0.197,0.220
11:29:44.615,1,32628,0.228,0.228
11:29:44.639,0,32135,0.196,0.091
11:29:44.639,0,32136,0.196,0.121
11:29:44.639,0,32137,0.196,0.131
11:29:44.639,0,32138,0.196,0.140
11:29:44.639,0,32139,0.196,0.150
11:29:44.639,0,32140,0.196,0.159
11:29:44.639,0,32141,0.196,0.169
11:29:44.639,0,32142,0.196,0.179
11:29:44.639,0,32143,0.196,0.188
11:29:44.639,0,32144,0.196,0.196
11:29:44.639,0,32145,0.205,0.205
11:29:44.654,2,32496,0.196,0.154
11:29:44.654,2,32497,0.196,0.176
11:29:44.654,2,32498,0.196,0.186
11:29:44.654,2,32499,0.196,0.195
11:29:44.654,2,32500,0.196,0.204
11:29:44.654,2,32501,0.196,0.212
11:29:44.654,2,32502,0.196,0.221
11:29:44.654,2,32503,0.196,0.229
11:29:44.654,2,32504,0.196,0.237
11:29:44.654,2,32505,0.196,0.246
11:29:44.654,2,32506,0.196,0.254
11:29:44.654,2,32507,0.267,0.267
11:29:44.657,1,32629,0.228,0.207
11:29:44.657,1,32630,0.228,0.231
11:29:44.657,1,32631,0.228,0.243
11:29:44.657,1,32632,0.228,0.252
11:29:44.657,1,32633,0.228,0.260
11:29:44.657,1,32634,0.228,0.268
11:29:44.657,1,32635,0.228,0.276
11:29:44.657,1,32636,0.228,0.284
11:29:44.657,1,32637,0.228,0.292
11:29:44.657,1,32638,0.228,0.299
11:29:44.657,1,32639,0.307,0.307
