wall_time,cam,rtp_seq,passthrough_ms,dropped_packets
16:43:09.304,1,49663,0.393,1
16:43:09.304,1,49665,0.382,1
16:43:09.304,1,49667,0.371,1
16:43:09.304,1,49669,0.376,1
16:43:09.304,1,49671,0.385,1
16:43:09.305,1,49672,0.543,0
16:43:09.305,1,49674,0.303,1
16:43:09.305,1,49676,0.349,1
16:43:09.305,2,38032,0.194,0
16:43:09.305,1,49677,0.600,0
16:43:09.306,1,49678,0.698,0
16:43:09.306,2,38033,0.275,0
16:43:09.306,1,49679,0.674,0
16:43:09.306,2,38034,0.360,0
16:43:09.306,1,49680,0.705,0
16:43:09.306,1,49681,0.228,0
16:43:09.306,2,38035,0.375,0
16:43:09.307,1,49682,0.101,0
16:43:09.307,2,38036,0.196,0
16:43:09.307,2,38037,0.329,0
16:43:09.307,2,38038,0.274,0
16:43:09.307,2,38039,0.176,0
16:43:09.307,2,38040,0.144,0
16:43:09.307,1,49683,0.781,0
16:43:09.308,2,38041,0.201,0
16:43:09.308,1,49685,0.657,1
16:43:09.308,1,49687,0.286,1
16:43:09.308,2,38042,0.192,0
16:43:09.308,2,38043,0.193,0
16:43:09.308,1,49688,0.572,0
16:43:09.308,2,38044,0.285,0
16:43:09.308,2,38045,0.385,0
16:43:09.309,1,49689,0.442,0
16:43:09.309,2,38046,0.197,0
16:43:09.309,2,38047,0.290,0
16:43:09.309,1,49690,0.626,0
16:43:09.309,2,38048,0.381,0
16:43:09.309,1,49693,0.422,2
16:43:09.309,2,38049,0.401,0
16:43:09.309,1,49694,0.434,0
16:43:09.310,2,38051,0.282,1
16:43:09.310,2,38052,0.351,0
16:43:09.310,1,49695,0.690,0
16:43:09.310,2,38053,0.265,0
16:43:09.310,2,38054,0.106,0
16:43:09.310,2,38055,0.237,0
16:43:09.310,2,38057,0.225,1
16:43:09.310,2,38059,0.202,1
16:43:09.311,2,38061,0.178,1
16:43:09.311,2,38062,0.184,0
16:43:09.311,2,38063,0.223,0
16:43:09.311,2,38065,0.226,1
16:43:09.311,2,38067,0.178,1
16:43:09.311,2,38068,0.211,0
16:43:09.311,2,38069,0.222,0
16:43:09.311,2,38072,0.227,2
16:43:09.311,2,38074,0.231,1
16:43:09.312,2,38076,0.232,1
16:43:09.312,2,38078,0.214,1
16:43:09.312,2,38080,0.199,1
16:43:09.312,2,38082,0.196,1
16:43:09.312,2,38084,0.174,1
16:43:09.312,2,38085,0.247,0
16:43:09.312,2,38086,0.244,0
16:43:09.312,2,38087,0.239,0
16:43:09.312,2,38088,0.249,0
16:43:09.313,2,38089,0.239,0
16:43:09.313,2,38090,0.238,0
16:43:09.313,2,38091,0.138,0
16:43:09.313,2,38092,0.133,0
16:43:09.313,2,38093,0.088,0
16:43:09.313,2,38094,0.116,0
16:43:09.313,2,38095,0.065,0
16:43:09.313,2,38096,0.065,0
16:43:09.313,2,38097,0.063,0
16:43:09.313,2,38098,0.062,0
16:43:09.314,2,38099,0.063,0
16:43:09.314,2,38100,0.063,0
16:43:09.314,2,38101,0.064,0
16:43:09.314,2,38102,0.070,0
16:43:09.317,2,38103,0.135,0
16:43:09.317,2,38104,0.203,0
16:43:09.317,2,38105,0.197,0
16:43:09.317,2,38106,0.182,0
16:43:09.317,2,38107,0.203,0
16:43:09.317,2,38108,0.183,0
16:43:09.318,2,38109,0.100,0
16:43:09.318,2,38110,0.188,0
16:43:09.318,2,38111,0.112,0
16:43:09.318,2,38112,0.207,0
16:43:09.318,2,38113,0.099,0
16:43:09.318,2,38114,0.207,0
16:43:09.318,2,38115,0.194,0
16:43:09.319,2,38116,0.187,0
16:43:09.319,2,38117,0.104,0
16:43:09.319,2,38118,0.111,0
16:43:09.319,2,38119,0.218,0
16:43:09.319,2,38120,0.212,0
16:43:09.319,2,38121,0.193,0
16:43:09.319,2,38122,0.203,0
16:43:09.319,2,38123,0.221,0
16:43:09.320,2,38124,0.225,0
16:43:09.320,2,38125,0.180,0
16:43:09.320,2,38126,0.185,0
16:43:09.320,2,38127,0.121,0
16:43:09.320,2,38128,0.250,0
16:43:09.320,2,38129,0.202,0
16:43:09.320,2,38130,0.187,0
16:43:09.320,2,38131,0.178,0
16:43:09.321,2,38132,0.175,0
16:43:09.321,2,38133,0.196,0
16:43:09.321,2,38134,0.166,0
16:43:09.321,2,38135,0.089,0
16:43:09.321,2,38136,0.068,0
16:43:09.321,2,38137,0.028,0
16:43:09.321,2,38138,0.026,0
16:43:09.321,2,38139,0.024,0
16:43:09.323,0,32720,0.127,0
16:43:09.323,0,32721,0.170,0
16:43:09.323,0,32722,0.133,0
16:43:09.324,0,32723,0.121,0
16:43:09.324,0,32724,0.118,0
16:43:09.324,0,32725,0.117,0
16:43:09.324,0,32726,0.117,0
16:43:09.324,0,32727,0.116,0
16:43:09.324,0,32728,0.185,0
16:43:09.324,0,32729,0.196,0
16:43:09.324,0,32730,0.213,0
16:43:09.324,0,32731,0.218,0
16:43:09.324,0,32732,0.225,0
16:43:09.324,0,32733,0.160,0
16:43:09.324,0,32734,0.087,0
16:43:09.325,0,32735,0.034,0
16:43:09.325,0,32736,0.033,0
16:43:09.325,0,32737,0.034,0
16:43:09.325,0,32738,0.035,0
16:43:09.325,0,32739,0.036,0
16:43:09.325,0,32740,0.086,0
16:43:09.325,0,32741,0.041,0
16:43:09.325,0,32742,0.037,0
16:43:09.326,0,32743,0.037,0
16:43:09.326,0,32744,0.037,0
16:43:09.326,0,32745,0.038,0
16:43:09.326,0,32746,0.039,0
16:43:09.326,1,49696,0.040,0
16:43:09.326,1,49697,0.054,0
16:43:09.326,0,32747,0.248,0
16:43:09.326,1,49698,0.248,0
16:43:09.326,0,32748,0.226,0
16:43:09.327,0,32749,0.211,0
16:43:09.327,1,49699,0.480,0
16:43:09.327,1,49700,0.205,0
16:43:09.327,0,32750,0.468,0
16:43:09.327,0,32751,0.397,0
16:43:09.327,1,49701,0.177,0
16:43:09.328,1,49702,0.125,0
16:43:09.328,1,49703,0.122,0
16:43:09.328,1,49704,0.132,0
16:43:09.328,1,49705,0.115,0
16:43:09.328,0,32752,1.205,0
16:43:09.328,0,32757,0.457,4
16:43:09.329,1,49706,0.227,0
16:43:09.329,0,32758,0.487,0
16:43:09.329,0,32760,0.258,1
16:43:09.329,0,32761,0.249,0
16:43:09.329,0,32762,0.252,0
16:43:09.329,0,32763,0.264,0
16:43:09.329,0,32764,0.268,0
16:43:09.329,0,32765,0.418,0
16:43:09.330,2,38140,0.286,0
16:43:09.330,0,32767,0.465,1
16:43:09.330,2,38141,0.350,0
16:43:09.330,0,32769,0.353,1
16:43:09.330,0,32770,0.354,0
16:43:09.330,0,32771,0.538,0
16:43:09.330,2,38142,0.505,0
16:43:09.331,0,32774,0.422,2
16:43:09.331,2,38143,0.560,0
16:43:09.331,2,38144,0.413,0
16:43:09.331,0,32775,0.849,0
16:43:09.331,2,38145,0.406,0
16:43:09.331,2,38146,0.520,0
16:43:09.331,0,32776,0.840,0
16:43:09.332,2,38147,0.320,0
16:43:09.332,2,38148,0.380,0
16:43:09.332,0,32777,0.803,0
16:43:09.332,2,38149,0.636,0
16:43:09.332,0,32778,0.469,0
16:43:09.332,0,32779,0.331,0
16:43:09.332,0,32780,0.158,0
16:43:09.332,0,32781,0.157,0
16:43:09.333,0,32782,0.157,0
16:43:09.333,0,32783,0.155,0
16:43:09.333,0,32784,0.155,0
16:43:09.333,0,32785,0.169,0
16:43:09.333,0,32786,0.177,0
16:43:09.333,0,32787,0.165,0
16:43:09.333,0,32788,0.079,0
16:43:09.338,0,32789,0.190,0
16:43:09.339,0,32790,0.263,0
16:43:09.339,0,32791,0.260,0
16:43:09.339,0,32792,0.248,0
16:43:09.339,0,32793,0.257,0
16:43:09.339,0,32794,0.231,0
16:43:09.339,0,32795,0.241,0
16:43:09.340,0,32796,0.227,0
16:43:09.340,0,32797,0.209,0
16:43:09.340,0,32798,0.210,0
16:43:09.340,0,32799,0.218,0
16:43:09.340,0,32800,0.211,0
16:43:09.340,0,32801,0.210,0
16:43:09.341,0,32802,0.208,0
16:43:09.341,0,32803,0.210,0
16:43:09.341,0,32804,0.386,0
16:43:09.341,0,32805,0.316,0
16:43:09.341,0,32806,0.163,0
16:43:09.341,0,32807,0.124,0
16:43:09.341,0,32808,0.123,0
16:43:09.341,0,32809,0.166,0
16:43:09.342,0,32810,0.149,0
16:43:09.342,0,32811,0.198,0
16:43:09.342,0,32812,0.188,0
16:43:09.342,0,32813,0.183,0
16:43:09.342,0,32814,0.177,0
16:43:09.342,0,32815,0.177,0
16:43:09.342,0,32816,0.165,0
16:43:09.342,0,32817,0.182,0
16:43:09.342,0,32818,0.175,0
16:43:09.342,0,32819,0.154,0
16:43:09.342,0,32820,0.246,0
16:43:09.342,0,32821,0.195,0
16:43:09.343,0,32822,0.192,0
16:43:09.343,0,32823,0.183,0
16:43:09.343,0,32824,0.182,0
16:43:09.343,0,32825,0.241,0
16:43:09.343,0,32826,0.137,0
16:43:09.343,0,32827,0.105,0
16:43:09.343,0,32828,0.075,0
16:43:09.343,0,32829,0.121,0
16:43:09.343,0,32830,0.122,0
16:43:09.344,0,32831,0.086,0
16:43:09.344,0,32832,0.039,0
16:43:09.344,0,32833,0.041,0
16:43:09.344,0,32834,0.039,0
16:43:09.344,0,32835,0.052,0
16:43:09.344,0,32836,0.039,0
16:43:09.344,0,32837,0.039,0
16:43:09.344,0,32838,0.039,0
16:43:09.344,0,32839,0.039,0
16:43:09.345,0,32840,0.039,0
16:43:09.345,0,32841,0.040,0
16:43:09.345,0,32842,0.038,0
16:43:09.345,0,32843,0.038,0
16:43:09.345,0,32844,0.036,0
16:43:09.345,0,32845,0.037,0
16:43:09.345,0,32846,0.037,0
16:43:09.346,0,32847,0.035,0
16:43:09.346,0,32848,0.035,0
16:43:09.346,0,32849,0.037,0
16:43:09.346,0,32850,0.040,0
16:43:09.346,0,32851,0.046,0
16:43:09.346,0,32852,0.038,0
16:43:09.346,0,32853,0.037,0
16:43:09.346,0,32854,0.035,0
16:43:09.347,0,32855,0.035,0
16:43:09.347,0,32856,0.035,0
16:43:09.347,0,32857,0.035,0
16:43:09.347,0,32858,0.053,0
16:43:09.347,0,32859,0.036,0
16:43:09.347,0,32860,0.035,0
16:43:09.347,0,32861,0.035,0
16:43:09.347,0,32862,0.035,0
16:43:09.348,0,32863,0.035,0
16:43:09.348,0,32864,0.035,0
16:43:09.348,0,32865,0.035,0
16:43:09.348,0,32866,0.036,0
16:43:09.348,0,32867,0.037,0
16:43:09.356,0,32868,0.139,0
16:43:09.356,0,32869,0.165,0
16:43:09.356,0,32870,0.138,0
16:43:09.357,0,32871,0.294,0
16:43:09.357,0,32872,0.365,0
16:43:09.357,0,32873,0.354,0
16:43:09.358,0,32874,0.556,0
16:43:09.358,0,32877,0.719,2
16:43:09.358,0,32878,0.424,0
16:43:09.358,0,32879,0.529,0
16:43:09.358,0,32880,0.232,0
16:43:09.359,0,32881,0.227,0
16:43:09.359,0,32882,0.199,0
16:43:09.359,0,32883,0.222,0
16:43:09.359,0,32884,0.194,0
16:43:09.359,0,32885,0.215,0
16:43:09.359,0,32886,0.221,0
16:43:09.359,0,32887,0.219,0
16:43:09.359,0,32888,0.183,0
16:43:09.360,0,32889,0.192,0
16:43:09.360,0,32890,0.180,0
16:43:09.360,0,32891,0.125,0
16:43:09.360,2,38150,0.322,0
16:43:09.361,2,38151,0.624,0
16:43:09.361,2,38153,0.594,1
16:43:09.361,2,38155,0.526,1
16:43:09.362,2,38156,0.731,0
16:43:09.362,2,38157,0.696,0
16:43:09.368,1,49707,0.276,0
16:43:09.368,1,49708,0.338,0
16:43:09.368,1,49709,0.283,0
16:43:09.368,1,49710,0.269,0
16:43:09.368,1,49711,0.255,0
16:43:09.369,1,49712,0.253,0
16:43:09.369,1,49713,0.257,0
16:43:09.369,1,49714,0.243,0
16:43:09.369,1,49715,0.252,0
16:43:09.369,1,49716,0.115,0
16:43:09.401,0,32892,0.669,0
16:43:09.402,0,32893,1.313,0
16:43:09.403,0,32894,1.521,0
16:43:09.404,0,32895,0.757,0
16:43:09.404,2,38158,1.455,0
16:43:09.405,2,38159,1.257,0
16:43:09.405,0,32896,0.238,0
16:43:09.406,2,38160,1.333,0
16:43:09.406,2,38161,0.988,0
16:43:09.406,2,38162,0.955,0
16:43:09.406,0,32897,0.631,0
16:43:09.407,2,38163,0.497,0
16:43:09.407,0,32898,0.738,0
16:43:09.407,2,38164,0.488,0
16:43:09.408,0,32899,1.191,0
16:43:09.408,0,32900,0.872,0
16:43:09.408,0,32901,0.755,0
16:43:09.408,2,38165,0.815,0
16:43:09.408,0,32902,0.549,0
16:43:09.408,0,32903,0.640,0
16:43:09.409,0,32904,1.008,0
16:43:09.409,1,49717,0.732,0
16:43:09.410,0,32905,1.426,0
16:43:09.410,0,32906,1.417,0
16:43:09.410,1,49718,1.508,0
16:43:09.411,0,32907,1.336,0
16:43:09.411,1,49719,1.060,0
16:43:09.411,0,32908,0.894,0
16:43:09.411,0,32909,0.858,0
16:43:09.411,0,32911,0.528,1
16:43:09.412,0,32912,0.756,0
16:43:09.412,1,49720,0.550,0
16:43:09.412,1,49721,0.453,0
16:43:09.412,1,49722,0.254,0
16:43:09.412,1,49723,0.239,0
16:43:09.412,1,49724,0.131,0
16:43:09.444,0,32913,0.605,0
16:43:09.445,0,32914,1.301,0
16:43:09.445,0,32916,0.991,1
16:43:09.445,0,32917,1.084,0
16:43:09.446,0,32918,0.812,0
16:43:09.446,0,32919,0.341,0
16:43:09.446,0,32920,0.306,0
16:43:09.446,0,32921,0.226,0
16:43:09.447,0,32922,0.894,0
16:43:09.447,0,32924,0.588,1
16:43:09.448,2,38166,0.969,0
16:43:09.448,0,32925,0.680,0
16:43:09.448,2,38167,1.084,0
16:43:09.448,0,32926,0.659,0
16:43:09.448,2,38168,0.441,0
16:43:09.449,0,32927,0.705,0
16:43:09.449,0,32928,0.451,0
16:43:09.449,0,32929,0.386,0
16:43:09.450,2,38169,1.693,0
16:43:09.450,2,38171,1.096,1
16:43:09.450,0,32930,1.627,0
16:43:09.451,2,38172,1.479,0
16:43:09.451,1,49725,2.000,0
16:43:09.451,1,49726,1.826,0
16:43:09.451,1,49727,0.418,0
16:43:09.452,0,32931,1.289,0
16:43:09.452,0,32932,0.541,0
16:43:09.452,1,49728,0.688,0
16:43:09.453,1,49729,0.512,0
16:43:09.453,1,49730,0.356,0
16:43:09.453,1,49731,0.363,0
16:43:09.453,1,49732,0.172,0
16:43:09.476,0,32933,0.459,0
16:43:09.476,0,32935,0.815,1
16:43:09.476,0,32939,0.450,3
16:43:09.477,0,32941,0.475,1
16:43:09.477,0,32945,0.348,3
16:43:09.477,0,32947,0.248,1
16:43:09.477,0,32948,0.311,0
16:43:09.477,0,32949,0.289,0
16:43:09.477,0,32950,0.177,0
