wall_time,iface,tx_mbps,rx_mbps
15:51:03,enx0c3796ba2d6a,0.112,5.064
15:51:03,enx0c3796ba2d67,0.093,4.151
15:51:04,enp0s31f6,0.075,3.783
15:51:04,enx0c3796ba2d6a,0.071,3.437
15:51:04,enx0c3796ba2d67,0.097,4.212
15:51:05,enp0s31f6,0.096,4.714
15:51:05,enx0c3796ba2d6a,0.112,5.000
15:51:05,enx0c3796ba2d67,0.094,4.238
15:51:06,enp0s31f6,0.075,3.619
15:51:06,enx0c3796ba2d6a,0.077,3.427
15:51:06,enx0c3796ba2d67,0.101,4.341
15:51:07,enp0s31f6,0.102,5.017
15:51:07,enx0c3796ba2d6a,0.105,5.017
15:51:07,enx0c3796ba2d67,0.090,4.106
15:51:08,enp0s31f6,0.072,3.467
15:51:08,enx0c3796ba2d6a,0.073,3.415
15:51:08,enx0c3796ba2d67,0.094,4.240
15:51:09,enp0s31f6,0.103,4.919
15:51:09,enx0c3796ba2d6a,0.111,4.987
15:51:09,enx0c3796ba2d67,0.093,4.220
15:51:10,enp0s31f6,0.078,3.742
15:51:10,enx0c3796ba2d6a,0.076,3.472
15:51:10,enx0c3796ba2d67,0.095,4.228
15:51:11,enp0s31f6,0.097,4.708
15:51:11,enx0c3796ba2d6a,0.114,4.972
15:51:11,enx0c3796ba2d67,0.095,4.285
15:51:12,enp0s31f6,0.075,3.649
15:51:12,enx0c3796ba2d6a,0.071,3.352
15:51:12,enx0c3796ba2d67,0.089,4.034
15:51:13,enp0s31f6,0.097,4.852
15:51:13,enx0c3796ba2d6a,0.109,4.983
15:51:13,enx0c3796ba2d67,0.092,4.222
15:51:14,enp0s31f6,0.068,3.416
15:51:14,enx0c3796ba2d6a,0.074,3.421
15:51:14,enx0c3796ba2d67,0.091,4.173
15:51:15,enp0s31f6,0.097,4.704
15:51:15,enx0c3796ba2d6a,0.107,4.928
15:51:15,enx0c3796ba2d67,0.100,4.406
15:51:16,enp0s31f6,0.066,3.450
15:51:16,enx0c3796ba2d6a,0.071,3.423
15:51:16,enx0c3796ba2d67,0.087,4.031
15:51:17,enp0s31f6,0.096,4.725
15:51:17,enx0c3796ba2d6a,0.107,4.922
15:51:17,enx0c3796ba2d67,0.095,4.189
15:51:18,enp0s31f6,0.079,3.822
15:51:18,enx0c3796ba2d6a,0.076,3.499
15:51:18,enx0c3796ba2d67,0.096,4.224
15:51:19,enp0s31f6,0.100,4.813
15:51:19,enx0c3796ba2d6a,0.108,4.779
15:51:19,enx0c3796ba2d67,0.093,4.193
15:51:20,enp0s31f6,0.077,3.714
15:51:20,enx0c3796ba2d6a,0.078,3.555
15:51:20,enx0c3796ba2d67,0.096,4.434
15:51:21,enp0s31f6,0.100,4.766
15:51:21,enx0c3796ba2d6a,0.111,5.130
15:51:21,enx0c3796ba2d67,0.090,4.146
15:51:22,enp0s31f6,0.073,3.638
15:51:22,enx0c3796ba2d6a,0.078,3.465
15:51:22,enx0c3796ba2d67,0.093,4.176
15:51:23,enp0s31f6,0.102,4.949
15:51:23,enx0c3796ba2d6a,0.113,5.075
15:51:23,enx0c3796ba2d67,0.094,4.203
15:51:24,enp0s31f6,0.078,3.689
15:51:24,enx0c3796ba2d6a,0.076,3.451
15:51:24,enx0c3796ba2d67,0.094,4.179
15:51:25,enp0s31f6,0.090,4.585
15:51:25,enx0c3796ba2d6a,0.101,4.782
