wall_time,cam_index,rtp_seq,network_ms
11:23:41.298,2,58139,325.3819
11:23:41.314,2,58151,324.0631
11:23:41.317,0,50791,326.4900
11:23:41.318,1,43574,405.3945
11:23:41.376,1,43602,395.3000
11:23:41.377,2,58164,383.4618
11:23:41.377,0,50801,380.4036
11:23:41.399,1,43615,407.5819
11:23:41.403,0,50811,399.1375
11:23:41.403,2,58176,402.3201
11:23:41.435,1,43628,435.3938
11:23:41.441,0,50822,393.7986
11:23:41.443,2,58189,398.0340
11:23:41.477,2,58200,394.2575
11:23:41.495,0,50832,396.0718
11:23:41.495,1,43641,450.3839
11:23:41.519,1,43654,439.5959
11:23:41.519,2,58212,397.6558
11:23:41.521,0,50842,408.1279
11:23:41.574,1,43666,464.7531
11:23:41.574,2,58223,391.4179
11:23:41.574,0,50851,385.6972
11:23:41.589,1,43678,400.6639
11:23:41.603,0,50860,401.7684
11:23:41.603,2,58235,402.0880
11:23:41.638,1,43690,440.4644
11:23:41.638,2,58246,396.5010
11:23:41.641,0,50870,399.4192
11:23:41.705,0,50879,432.1997
11:23:41.705,2,58256,407.3741
11:23:41.706,1,43702,466.5837
11:23:41.721,1,43713,450.8991
11:23:41.722,2,58269,408.4197
11:23:41.804,1,43724,485.8029
11:23:41.805,2,58282,428.7128
11:23:41.808,0,50887,491.2460
11:23:41.811,2,58295,408.2647
11:23:41.812,1,43734,435.9941
11:23:41.824,0,50896,447.6449
11:23:41.827,0,50906,424.2353
11:23:41.845,1,43745,446.1628
11:23:41.845,2,58307,402.1731
11:23:41.846,0,50915,404.3709
11:23:41.922,1,43755,486.5485
11:23:41.922,0,50926,426.6325
11:23:41.922,2,58317,445.1831
11:23:41.927,2,58329,407.3694
11:23:41.927,1,43766,431.2301
11:23:41.928,0,50934,407.0064
11:23:41.955,2,58341,381.0162
11:23:41.955,0,50944,381.0235
11:23:41.974,1,43778,455.0316
11:23:41.997,1,43792,423.2080
11:23:41.998,2,58353,395.2173
11:23:42.002,0,50953,399.6319
11:23:42.051,2,58365,412.5449
11:23:42.051,1,43803,461.7309
11:23:42.053,0,50963,412.0313
11:23:42.070,1,43814,432.0591
11:23:42.109,0,50974,404.0719
11:23:42.109,2,58379,403.8661
11:23:42.117,2,58392,394.9900
11:23:42.118,0,51097,310.3864
11:23:42.119,1,43827,412.9938
11:23:42.202,1,43839,481.0517
11:23:42.212,2,58403,406.4816
11:23:42.212,0,51106,387.8223
11:23:42.215,2,58417,403.9491
11:23:42.217,1,43850,413.6211
11:23:42.217,0,51118,389.9298
11:23:42.231,1,43865,419.0687
11:23:42.294,0,51129,447.8813
11:23:42.294,2,58431,448.3641
11:23:42.296,1,43877,451.5098
11:23:42.297,0,51140,375.3032
11:23:42.301,2,58444,378.5162
11:23:42.320,0,51152,391.4821
11:23:42.320,1,43889,398.4514
11:23:42.324,2,58457,397.2096
11:23:42.377,1,43902,450.2786
11:23:42.380,0,51162,424.5189
11:23:42.380,2,58470,424.7056
11:23:42.395,1,43915,420.4104
11:23:42.404,0,51173,401.7869
11:23:42.404,2,58483,406.1456
11:23:42.448,2,58495,397.2112
11:23:42.448,1,43926,450.8874
11:23:42.448,0,51185,394.9553
11:23:42.475,0,51194,365.5830
11:23:42.475,1,43938,424.2826
11:23:42.478,2,58507,368.5048
11:23:42.521,0,51204,402.4088
11:23:42.521,2,58519,404.0652
11:23:42.521,1,43950,451.2876
11:23:42.572,1,43963,453.6585
11:23:42.572,0,51213,360.3359
11:23:42.573,2,58531,361.1079
11:23:42.596,2,58543,380.3374
11:23:42.601,1,43974,398.9464
11:23:42.601,0,51224,384.1049
11:23:42.639,2,58555,345.6367
11:23:42.640,1,43987,422.5774
11:23:42.642,0,51233,348.7613
11:23:42.705,2,58567,404.7038
11:23:42.705,0,51242,408.1522
11:23:42.705,1,44001,474.6456
11:23:42.861,1,44014,565.0942
11:23:42.878,1,44025,558.2039
11:23:42.910,2,58580,586.1546
11:23:42.912,1,44038,535.5580
11:23:42.924,2,58593,543.9212
11:23:42.925,0,51252,605.3185
11:23:42.927,2,58606,523.0738
11:23:42.928,1,44050,533.7001
11:23:42.934,1,44062,485.9625
11:23:42.934,2,58618,486.5134
11:23:42.939,1,44072,463.9325
11:23:42.939,2,58629,461.4064
11:23:42.942,0,51261,562.4940
11:23:42.946,0,51272,542.1485
11:23:42.953,0,51282,504.5586
11:23:42.958,2,58642,436.8398
11:23:42.958,0,51291,483.4652
11:23:42.958,1,44084,437.1148
11:23:42.965,0,51300,444.7130
11:23:42.966,2,58655,393.0921
11:23:42.998,2,58667,402.5269
11:23:43.037,1,44096,465.3366
11:23:43.055,1,44108,454.1062
11:23:43.055,2,58679,415.3910
11:23:43.055,0,51309,482.6427
11:23:43.059,0,51319,458.0243
11:23:43.100,2,58692,394.6836
11:23:43.100,0,51329,457.6913
11:23:43.100,1,44120,460.6907
11:23:43.115,1,44133,410.0871
11:23:43.116,0,51339,410.7708
11:23:43.122,2,58822,212.1553
11:23:43.182,2,58836,257.9695
11:23:43.190,1,44274,328.3131
11:23:43.195,0,51469,270.5187
11:23:43.211,2,58848,284.1561
11:23:43.212,1,44290,333.4439
11:23:43.212,0,51494,269.4612
11:23:43.250,2,58861,315.8475
11:23:43.250,1,44303,337.8147
11:23:43.252,0,51505,305.9580
11:23:43.270,1,44317,342.2150
11:23:43.274,0,51515,321.4670
11:23:43.313,2,58874,374.1668
11:23:43.321,2,58886,362.9885
11:23:43.321,1,44328,386.6607
11:23:43.324,0,51527,365.4573
11:23:43.385,1,44341,446.0649
11:23:43.386,2,58901,419.9914
11:23:43.386,0,51538,420.3751
11:23:43.401,2,58914,403.3623
11:23:43.402,1,44354,443.3481
11:23:43.404,0,51549,349.2427
11:23:43.459,1,44367,421.6147
11:23:43.460,0,51558,400.4182
11:23:43.460,2,58927,405.0528
11:23:43.480,2,58937,379.9396
11:23:43.481,1,44377,426.0637
11:23:43.481,0,51568,380.8658
11:23:43.533,1,44388,432.7131
11:23:43.533,0,51578,417.0017
11:23:43.533,2,58949,411.0760
11:23:43.561,0,51587,366.0600
11:23:43.562,1,44401,446.5787
11:23:43.564,2,58962,382.5945
11:23:43.608,0,51598,396.1170
11:23:43.608,1,44413,418.4362
11:23:43.612,2,58974,400.8593
11:23:43.636,2,58986,386.1904
11:23:43.684,1,44425,472.5093
11:23:43.684,0,51608,432.1582
11:23:43.687,2,58999,373.4123
11:23:43.689,0,51618,414.8963
11:23:43.689,1,44438,439.2197
11:23:43.747,1,44450,476.2018
11:23:43.769,2,59010,448.5079
11:23:43.770,1,44461,449.0074
11:23:43.827,2,59024,441.8981
11:23:43.829,0,51627,505.6439
11:23:43.832,2,59036,431.0250
11:23:43.833,1,44472,448.1008
11:23:43.839,1,44483,436.9335
11:23:43.843,2,59047,383.2072
11:23:43.847,0,51637,460.9491
11:23:43.851,0,51646,446.9886
11:23:43.855,0,51656,395.7953
